('the',) : 188100
('force',) : 1314
('per',) : 1311
('western',) : 1309
('temperature',) : 1299
('called',) : 1293
('four',) : 1285
('service',) : 1283
('if',) : 1282
('name',) : 1281
('climate',) : 1280
('public',) : 1277
('federal',) : 1272
('century',) : 1267
('same',) : 1254
('second',) : 1253
('miles',) : 1244
('until',) : 1241
('intensity',) : 1237
('following',) : 1222
('depression',) : 1215
('history',) : 1215
('located',) : 1214
('often',) : 1206
('3',) : 1202
('heat',) : 1196
('hours',) : 1186
('see',) : 1179
('much',) : 1171
('local',) : 1171
('10',) : 1168
('4',) : 1167
('2',) : 1161
('needed',) : 1158
('heavy',) : 1155
('small',) : 1147
('president',) : 1137
('significant',) : 1129
('puerto',) : 1128
('carolina',) : 1127
('research',) : 1126
('november',) : 1116
('rain',) : 1101
('july',) : 1096
('average',) : 1095
('development',) : 1092
('estimated',) : 1091
('moved',) : 1088
('bay',) : 1084
('those',) : 1071
('precipitation',) : 1067
('damaged',) : 1064
('gulf',) : 1055
('us',) : 1053
('destroyed',) : 1053
('so',) : 1052
('residents',) : 1051
('level',) : 1048
('mi',) : 1040
('developed',) : 1040
('result',) : 1034
('late',) : 1026
('beach',) : 1024
('names',) : 1019
('data',) : 1015
('off',) : 1014
('home',) : 1011
('above',) : 1007
('though',) : 1006
('2010',) : 996
('based',) : 995
('crew',) : 995
('period',) : 988
('throughout',) : 988
('point',) : 985
('america',) : 983
('references',) : 983
('named',) : 975
('another',) : 968
('produced',) : 967
('them',) : 964
('severe',) : 954
('record',) : 951
('cape',) : 950
('homes',) : 949
('least',) : 946
('school',) : 944
('formed',) : 942
('billion',) : 941
('reached',) : 937
('external',) : 937
('very',) : 925
('found',) : 921
('june',) : 909
('five',) : 907
('issued',) : 906
('long',) : 906
('according',) : 904
('further',) : 903
('washington',) : 900
('general',) : 898
('great',) : 893
('meteorological',) : 890
('coastal',) : 885
('30',) : 883
('left',) : 882
('conditions',) : 880
('work',) : 876
('change',) : 874
('20',) : 867
('canada',) : 863
('few',) : 862
('rico',) : 862
('cold',) : 859
('sustained',) : 857
('ice',) : 854
('could',) : 852
('line',) : 850
('example',) : 849
('recorded',) : 844
('end',) : 843
('links',) : 842
('six',) : 839
('lake',) : 839
('less',) : 838
('utc',) : 836
('affected',) : 835
('light',) : 834
('among',) : 832
('still',) : 829
('citation',) : 828
('ft',) : 823
('usually',) : 822
('just',) : 818
('12',) : 818
('warm',) : 815
('different',) : 812
('china',) : 811
('approximately',) : 799
('using',) : 796
('without',) : 791
('15',) : 789
('occurred',) : 788
('emergency',) : 787
('aircraft',) : 786
('december',) : 784
('usd',) : 784
('mass',) : 783
('launch',) : 781
('addition',) : 780
('extratropical',) : 774
('generally',) : 774
('effects',) : 773
('main',) : 772
('military',) : 771
('life',) : 768
('highest',) : 765
('surge',) : 764
('trees',) : 764
('increased',) : 763
('effect',) : 762
('higher',) : 762
('become',) : 762
('down',) : 760
('making',) : 760
('100',) : 758
('atmosphere',) : 757
('mississippi',) : 752
('district',) : 752
('language',) : 752
('lower',) : 751
('mission',) : 751
('march',) : 750
('shear',) : 749
('de',) : 748
('warning',) : 747
('feet',) : 747
('louisiana',) : 747
('increase',) : 746
('peak',) : 745
('typhoon',) : 740
('convection',) : 739
('now',) : 735
('atmospheric',) : 734
('office',) : 734
('like',) : 733
('circulation',) : 731
('led',) : 730
('associated',) : 728
('british',) : 728
('scale',) : 727
('japan',) : 725
('6',) : 723
('cloud',) : 722
('temperatures',) : 719
('did',) : 718
('program',) : 718
('law',) : 718
('current',) : 715
('waves',) : 715
('wave',) : 715
('important',) : 713
('lines',) : 713
('next',) : 710
('schools',) : 707
('port',) : 707
('eye',) : 706
('deaths',) : 706
('term',) : 702
('ground',) : 701
('inches',) : 699
('snow',) : 695
('2011',) : 694
('warnings',) : 693
('satellite',) : 693
('percent',) : 693
('even',) : 691
('basin',) : 690
('established',) : 690
('nearly',) : 689
('natural',) : 689
('global',) : 683
('january',) : 682
('flow',) : 681
('house',) : 680
('april',) : 678
('continued',) : 677
('roads',) : 675
('similar',) : 673
('18',) : 673
('maximum',) : 672
('impact',) : 671
('buildings',) : 671
('texas',) : 671
('place',) : 668
('various',) : 668
('services',) : 667
('common',) : 664
('considered',) : 664
('killed',) : 663
('speed',) : 662
('team',) : 662
('nasa',) : 661
('regions',) : 660
('2008',) : 660
('caribbean',) : 659
('25',) : 658
('parts',) : 657
('summer',) : 655
('european',) : 654
('cities',) : 654
('last',) : 653
('8',) : 652
('maryland',) : 651
('french',) : 647
('shuttle',) : 646
('countries',) : 646
('passed',) : 645
('times',) : 641
('below',) : 640
('activity',) : 636
('°c',) : 634
('rate',) : 634
('building',) : 634
('subtropical',) : 633
('members',) : 632
('st.',) : 632
('forces',) : 630
('africa',) : 630
('occur',) : 629
('weakened',) : 628
('control',) : 628
('set',) : 627
('moving',) : 626
('tornadoes',) : 626
('clouds',) : 625
('hemisphere',) : 624
('given',) : 620
('2005',) : 620
('24',) : 620
('john',) : 617
('do',) : 615
('lost',) : 615
('50',) : 614
('solar',) : 614
('7',) : 613
('department',) : 612
('back',) : 611
('winter',) : 611
('2012',) : 610
('every',) : 609
('11',) : 609
('make',) : 605
('causing',) : 605
('flight',) : 604
('english',) : 603
('spanish',) : 602
('expedition',) : 602
('process',) : 601
('indian',) : 598
('changes',) : 598
('third',) : 598
('especially',) : 598
('field',) : 595
('what',) : 592
('education',) : 592
('strength',) : 591
('northeast',) : 586
('track',) : 586
('science',) : 585
('airport',) : 584
('released',) : 582
('status',) : 582
('counties',) : 582
('waters',) : 581
('agency',) : 581
('age',) : 581
('official',) : 580
('court',) : 580
('governor',) : 578
('formation',) : 577
('radio',) : 577
('college',) : 577
('cause',) : 576
('park',) : 575
('disaster',) : 574
('company',) : 574
('england',) : 573
('series',) : 573
('popular',) : 572
('remained',) : 571
('houses',) : 571
('peninsula',) : 571
('group',) : 570
('launched',) : 569
('baltimore',) : 569
('upper',) : 567
('2015',) : 564
('single',) : 564
('2007',) : 563
('san',) : 563
('town',) : 563
('greater',) : 562
('2017',) : 561
('9',) : 561
('spacecraft',) : 560
('despite',) : 559
('iss',) : 559
('music',) : 558
('included',) : 558
('built',) : 556
('motion',) : 555
('modern',) : 555
('2013',) : 554
('events',) : 552
('tornado',) : 552
('project',) : 548
('2016',) : 547
('information',) : 546
('created',) : 546
('food',) : 546
('quickly',) : 545
('human',) : 543
('once',) : 543
('numerous',) : 542
('support',) : 541
('jersey',) : 540
('flood',) : 539
('away',) : 538
('against',) : 537
('stations',) : 537
('union',) : 537
('chinese',) : 536
('navy',) : 536
('economic',) : 536
('occurs',) : 535
('orbit',) : 535
('radar',) : 531
('primary',) : 530
('upon',) : 530
('organization',) : 528
('closed',) : 525
('typically',) : 525
('portion',) : 525
('capital',) : 525
('2009',) : 524
('pennsylvania',) : 522
('cuba',) : 522
('order',) : 521
('°f',) : 521
('congress',) : 521
('health',) : 519
('additional',) : 517
('album',) : 517
('soyuz',) : 515
('almost',) : 514
('levels',) : 514
('february',) : 513
('provided',) : 513
('bureau',) : 513
('provide',) : 512
('range',) : 511
('columbia',) : 511
('i',) : 511
('african',) : 510
('body',) : 508
('40',) : 507
('nation',) : 507
('culture',) : 507
('observed',) : 506
('former',) : 506
('square',) : 505
('production',) : 504
('old',) : 504
('brought',) : 504
('own',) : 503
('received',) : 502
('either',) : 500
('list',) : 499
('base',) : 499
('thus',) : 498
('months',) : 498
('way',) : 497
('took',) : 497
('held',) : 497
('2006',) : 496
('civil',) : 496
('economy',) : 496
('others',) : 495
('2003',) : 494
('sometimes',) : 492
('struck',) : 491
('thunderstorms',) : 490
('regional',) : 490
('forecast',) : 490
('particularly',) : 489
('side',) : 489
('today',) : 489
('larger',) : 487
('14',) : 487
('17',) : 487
('little',) : 486
('bush',) : 486
('intense',) : 485
('possible',) : 485
('bbc',) : 485
('far',) : 484
('community',) : 484
('direction',) : 482
('expected',) : 482
('white',) : 482
('terms',) : 481
('2014',) : 481
('location',) : 480
('half',) : 480
('resulted',) : 479
('act',) : 477
('again',) : 475
('front',) : 474
('political',) : 473
('16',) : 472
('el',) : 472
('top',) : 471
('available',) : 471
('bahamas',) : 471
('defined',) : 470
('13',) : 470
('report',) : 470
('rivers',) : 469
('study',) : 468
('amount',) : 467
('related',) : 467
('final',) : 466
('having',) : 465
('trade',) : 465
('momentum',) : 464
('southeast',) : 463
('hit',) : 463
('dry',) : 463
('delaware',) : 463
('red',) : 462
('operations',) : 461
('2000',) : 461
('includes',) : 460
('northwest',) : 459
('site',) : 459
('species',) : 458
('black',) : 458
('forms',) : 457
('take',) : 457
('fire',) : 457
('overall',) : 455
('28',) : 455
('structure',) : 453
('present',) : 453
('commercial',) : 453
('potential',) : 452
('extensive',) : 452
('mostly',) : 452
('enough',) : 451
('does',) : 451
('angular',) : 450
('outside',) : 450
('nations',) : 449
('industry',) : 449
('towards',) : 448
('annual',) : 447
('seven',) : 447
('prior',) : 447
('inland',) : 446
('nuclear',) : 445
('case',) : 445
('deep',) : 444
('league',) : 444
('rapidly',) : 443
('2004',) : 443
('haiti',) : 442
('constitution',) : 442
('beginning',) : 441
('outer',) : 440
('show',) : 439
('officials',) : 439
('free',) : 438
('sun',) : 438
('strongest',) : 437
('resulting',) : 437
('property',) : 435
('ships',) : 435
('recent',) : 434
('eyewall',) : 433
('japanese',) : 433
('retired',) : 433
('republic',) : 431
('move',) : 430
('declared',) : 429
('gusts',) : 429
('television',) : 428
('environment',) : 427
('size',) : 427
('electricity',) : 427
('29',) : 427
('management',) : 427
('initially',) : 426
('rotation',) : 425
('original',) : 424
('family',) : 424
('seen',) : 424
('features',) : 423
('army',) : 423
('19',) : 422
('21',) : 422
('ridge',) : 421
('ohio',) : 421
('entire',) : 421
('census',) : 421
('gas',) : 420
('vertical',) : 419
('nature',) : 419
('administration',) : 419
('path',) : 418
('her',) : 417
('minor',) : 416
('height',) : 416
('open',) : 416
('directly',) : 416
('native',) : 416
('produce',) : 415
('construction',) : 415
('environmental',) : 414
('must',) : 412
('26',) : 412
('zone',) : 412
('said',) : 411
('polar',) : 411
('ontario',) : 411
('60',) : 410
('seasons',) : 408
('news',) : 408
('middle',) : 407
('growth',) : 407
('reports',) : 407
('response',) : 406
('languages',) : 406
('scientific',) : 405
('module',) : 405
('model',) : 405
('23',) : 404
('primarily',) : 403
('types',) : 403
('turned',) : 403
('la',) : 402
('relatively',) : 401
('design',) : 401
('oil',) : 400
('westward',) : 399
('transportation',) : 399
('russian',) : 399
('standard',) : 399
('students',) : 398
('followed',) : 398
('fall',) : 398
('develop',) : 396
('george',) : 396
('living',) : 396
('referred',) : 395
('ii',) : 395
('replaced',) : 395
('private',) : 394
('ship',) : 393
('becoming',) : 392
('province',) : 391
('started',) : 391
('maine',) : 390
('flooded',) : 389
('marine',) : 389
('communities',) : 389
('opened',) : 389
('future',) : 388
('inhg',) : 387
('27',) : 387
('death',) : 386
('media',) : 386
('date',) : 386
('ten',) : 385
('22',) : 384
('reach',) : 383
('band',) : 382
('movement',) : 381
('dropped',) : 381
('groups',) : 381
('limited',) : 381
('hamilton',) : 381
('records',) : 380
('required',) : 380
('should',) : 379
('organized',) : 379
('currently',) : 379
('eight',) : 378
('majority',) : 377
('division',) : 377
('responsible',) : 376
('radiation',) : 374
('past',) : 374
('described',) : 373
('norfolk',) : 372
('loss',) : 371
('moderate',) : 371
('leading',) : 370
('provides',) : 369
('help',) : 369
('published',) : 369
('film',) : 369
('reaching',) : 369
('losses',) : 368
('lightning',) : 368
('equator',) : 367
('active',) : 367
('india',) : 367
('smaller',) : 366
('road',) : 366
('event',) : 366
('eventually',) : 364
('women',) : 364
('europe',) : 363
('position',) : 363
('widespread',) : 363
('source',) : 362
('relief',) : 362
('coriolis',) : 361
('short',) : 360
('library',) : 360
('australia',) : 359
('philippines',) : 359
('roughly',) : 359
('spring',) : 359
('measured',) : 358
('lead',) : 358
('increasing',) : 358
('galveston',) : 358
('80',) : 357
('distance',) : 357
('hawaii',) : 357
('member',) : 357
('programs',) : 357
('territory',) : 357
('direct',) : 356
('forecasts',) : 356
('previous',) : 356
('centers',) : 355
('fell',) : 355
('cases',) : 355
('elected',) : 355
('extreme',) : 354
('evacuated',) : 354
('independent',) : 353
('announced',) : 353
('coastline',) : 352
('taken',) : 352
('month',) : 352
('southwest',) : 352
('results',) : 351
('locations',) : 351
('efforts',) : 351
('came',) : 351
('special',) : 351
('ever',) : 350
('historic',) : 350
('mountains',) : 349
('cross',) : 349
('how',) : 348
('best',) : 348
('richmond',) : 348
('juan',) : 348
('pittsburgh',) : 348
('type',) : 348
('latitude',) : 347
('200',) : 347
('canadian',) : 347
('arabic',) : 347
('greek',) : 347
('network',) : 346
('toward',) : 345
('velocity',) : 345
('normal',) : 344
('won',) : 344
('models',) : 343
('branch',) : 343
('bridge',) : 342
('thousands',) : 342
('sound',) : 341
('died',) : 341
('rains',) : 341
('rapid',) : 340
('aid',) : 340
('bodies',) : 339
('jacksonville',) : 339
('leaving',) : 339
('thunderstorm',) : 338
('particular',) : 338
('business',) : 338
('originally',) : 338
('sources',) : 337
('experienced',) : 337
('nearby',) : 337
('instead',) : 337
('objects',) : 337
('never',) : 337
('forced',) : 337
('james',) : 337
('street',) : 337
('90',) : 336
('board',) : 336
('technology',) : 336
('relative',) : 335
('intensified',) : 335
('transfer',) : 335
('likely',) : 334
('watch',) : 334
('sports',) : 334
('significantly',) : 333
('remains',) : 333
('axis',) : 332
('commonly',) : 332
('banks',) : 332
('section',) : 332
('asia',) : 332
('itself',) : 331
('noaa',) : 331
('notable',) : 331
('art',) : 331
('monsoon',) : 330
('trough',) : 330
('means',) : 330
('guard',) : 330
('museum',) : 330
('michigan',) : 329
('naval',) : 329
('southeastern',) : 329
('together',) : 329
('party',) : 329
('suffered',) : 328
('therefore',) : 327
('70',) : 327
('remnants',) : 327
('german',) : 327
('fort',) : 327
('crops',) : 327
('wide',) : 326
('warming',) : 326
('65',) : 325
('designed',) : 325
('rhode',) : 325
('thermal',) : 324
('satellites',) : 324
('income',) : 324
('combined',) : 323
('medical',) : 323
('units',) : 323
('men',) : 323
('hot',) : 322
('slightly',) : 322
('variety',) : 320
('value',) : 320
('cultural',) : 320
('plants',) : 319
('facilities',) : 319
('teams',) : 318
('noted',) : 318
('plan',) : 318
('founded',) : 318
('rather',) : 317
('longer',) : 317
('passage',) : 317
('weakening',) : 317
('close',) : 317
('constant',) : 317
('shore',) : 316
('hour',) : 316
('lesser',) : 316
('children',) : 316
('developing',) : 315
('causes',) : 315
('km2',) : 315
('cycle',) : 314
('additionally',) : 314
('bangladesh',) : 314
('19th',) : 314
('saint',) : 314
('missions',) : 314
('orbital',) : 314
('mbar',) : 314
('key',) : 313
('notes',) : 313
('route',) : 313
('role',) : 312
('association',) : 312
('20th',) : 312
('song',) : 312
('via',) : 311
('core',) : 311
('unit',) : 311
('antilles',) : 311
('evacuation',) : 311
('hundreds',) : 311
('served',) : 311
('physical',) : 310
('dust',) : 310
('extended',) : 310
('executive',) : 310
('rise',) : 308
('oceans',) : 308
('portions',) : 308
('right',) : 307
('debris',) : 306
('observations',) : 305
('officially',) : 305
('liquid',) : 305
('church',) : 305
('him',) : 305
('foreign',) : 305
('physics',) : 303
('certain',) : 303
('crop',) : 303
('rail',) : 303
('campus',) : 303
('layer',) : 302
('americans',) : 302
('social',) : 302
('traditional',) : 301
('games',) : 301
('resources',) : 301
('offshore',) : 301
('towns',) : 301
('channel',) : 300
('miami',) : 300
('urban',) : 300
('equipment',) : 300
('head',) : 300
('issues',) : 299
('2001',) : 299
('flights',) : 299
('completed',) : 299
('france',) : 299
('brazil',) : 298
('minutes',) : 298
('classified',) : 298
('uses',) : 298
('places',) : 298
('portuguese',) : 298
('arts',) : 298
('density',) : 297
('person',) : 297
('influence',) : 296
('31',) : 296
('lack',) : 296
('vehicle',) : 296
('border',) : 296
('mean',) : 295
('allowed',) : 295
('able',) : 294
('word',) : 294
('nova',) : 294
('object',) : 294
('sent',) : 293
('d.c.',) : 293
('access',) : 293
('metropolitan',) : 293
('moisture',) : 292
('nhc',) : 292
('football',) : 291
('historical',) : 291
('went',) : 291
('electric',) : 291
('lakes',) : 291
('we',) : 291
('massachusetts',) : 291
('council',) : 290
('jet',) : 289
('surrounding',) : 288
('studies',) : 287
('separate',) : 287
('mainland',) : 287
('75',) : 287
('supplies',) : 287
('written',) : 287
('upgraded',) : 287
('guam',) : 286
('shortly',) : 286
('soviet',) : 286
('bill',) : 286
('california',) : 286
('respectively',) : 284
('turn',) : 284
('society',) : 284
('floods',) : 283
('highway',) : 283
('rest',) : 283
('hail',) : 283
('election',) : 283
('meteorology',) : 282
('progress',) : 282
('nine',) : 282
('estimates',) : 281
('downed',) : 281
('points',) : 281
('volume',) : 281
('lowest',) : 280
('analysis',) : 280
('largely',) : 280
('valley',) : 280
('night',) : 280
('specific',) : 280
('hpa',) : 280
('introduced',) : 279
('phase',) : 279
('worldwide',) : 278
('fish',) : 278
('isabel',) : 278
('northward',) : 278
('/',) : 278
('orleans',) : 278
('speeds',) : 277
('slowly',) : 277
('complex',) : 277
('stage',) : 277
('daily',) : 277
('presidential',) : 277
('kilometres',) : 276
('earlier',) : 276
('georgia',) : 276
('pattern',) : 276
('northeastern',) : 275
('mexican',) : 275
('mainly',) : 274
('shelters',) : 274
('stated',) : 274
('initial',) : 274
('structures',) : 273
('naming',) : 273
('ranked',) : 273
('independence',) : 273
('latitudes',) : 272
('return',) : 272
('forecasting',) : 272
('australian',) : 272
('grand',) : 272
('divided',) : 271
('completely',) : 270
('weak',) : 270
('150',) : 270
('compared',) : 269
('need',) : 269
('worst',) : 269
('agencies',) : 269
('families',) : 269
('tax',) : 269
('week',) : 268
('niño',) : 268
('companies',) : 268
('colonial',) : 268
('courts',) : 268
('engine',) : 267
('amounts',) : 267
('stream',) : 267
('lists',) : 267
('hampton',) : 267
('assembly',) : 267
('supreme',) : 267
('tourism',) : 266
('supply',) : 266
('agricultural',) : 266
('downtown',) : 266
('minimum',) : 265
('equal',) : 265
('passing',) : 265
('subsequently',) : 265
('altitude',) : 264
('joint',) : 264
('king',) : 264
('police',) : 264
('boundary',) : 263
('scotia',) : 263
('fishing',) : 263
('era',) : 262
('travel',) : 262
('reference',) : 261
('better',) : 261
('cost',) : 261
('full',) : 261
('live',) : 261
('agriculture',) : 261
('allow',) : 260
('working',) : 260
('500',) : 260
('fourth',) : 259
('played',) : 259
('reconnaissance',) : 258
('persian',) : 258
('strengthened',) : 258
('chesapeake',) : 258
('she',) : 258
('laws',) : 258
('bengal',) : 258
('authority',) : 257
('create',) : 257
('start',) : 257
('traffic',) : 257
('added',) : 257
('distribution',) : 257
('senate',) : 257
('remaining',) : 256
('attained',) : 256
('rock',) : 256
('colony',) : 256
('powerful',) : 255
('gradually',) : 255
('vehicles',) : 255
('infrastructure',) : 255
('presence',) : 255
('policy',) : 255
('universities',) : 255
('mobile',) : 255
('article',) : 254
('tree',) : 254
('increases',) : 253
('difference',) : 253
('falls',) : 253
('whose',) : 253
('update',) : 253
('forming',) : 253
('dissipated',) : 252
('remain',) : 252
('material',) : 252
('battle',) : 252
('origin',) : 251
('erosion',) : 251
('older',) : 251
('kingdom',) : 251
('stronger',) : 250
('secondary',) : 250
('=',) : 250
('particles',) : 250
('works',) : 250
('william',) : 250
('citizens',) : 249
('carried',) : 249
('risk',) : 249
('katrina',) : 249
('rocket',) : 249
('consists',) : 249
('conducted',) : 248
('pollution',) : 248
('destruction',) : 247
('centre',) : 247
('individual',) : 247
('engineering',) : 247
('scientists',) : 246
('definition',) : 246
('weeks',) : 246
('matter',) : 246
('activities',) : 246
('rotating',) : 245
('bridges',) : 245
('korea',) : 245
('examples',) : 245
('professional',) : 243
('multiple',) : 242
('behind',) : 242
('flash',) : 242
('fuel',) : 242
('industrial',) : 242
('300',) : 241
('except',) : 241
('plane',) : 241
('severely',) : 241
('products',) : 241
('continental',) : 241
('abc',) : 241
('cover',) : 240
('feature',) : 240
('verde',) : 240
('michael',) : 240
('plans',) : 240
('bermuda',) : 240
('settlement',) : 240
('convective',) : 239
('numbers',) : 239
('returned',) : 239
('game',) : 239
('slaves',) : 239
('transport',) : 238
('processes',) : 238
('becomes',) : 238
('35',) : 238
('aboard',) : 238
('already',) : 238
('operated',) : 238
('harbor',) : 238
('book',) : 238
('threat',) : 237
('arrived',) : 237
('spain',) : 237
('hall',) : 237
('jamaica',) : 237
('evidence',) : 236
('wet',) : 236
('reduced',) : 236
('plant',) : 236
('market',) : 236
('indicated',) : 235
('shows',) : 235
('carbon',) : 235
('operation',) : 235
('contains',) : 235
('product',) : 235
('electrical',) : 234
('factors',) : 234
('designated',) : 234
('visible',) : 234
('watches',) : 234
('fluid',) : 234
('soon',) : 234
('complete',) : 234
('2002',) : 234
('entered',) : 234
('currents',) : 233
('organizations',) : 233
('saw',) : 233
('exist',) : 233
('peaked',) : 233
('version',) : 232
('maintained',) : 232
('equivalent',) : 231
('falling',) : 231
('meaning',) : 231
('mountain',) : 231
('degree',) : 231
('financial',) : 231
('alone',) : 230
('royal',) : 230
('cargo',) : 229
('preparations',) : 229
('45',) : 229
('applied',) : 229
('placed',) : 229
('vote',) : 229
('infrared',) : 228
('outages',) : 228
('damages',) : 228
('reading',) : 228
('commonwealth',) : 228
('freezing',) : 228
('oldest',) : 228
('normally',) : 227
('too',) : 227
('mir',) : 227
('indigenous',) : 227
('dominican',) : 227
('values',) : 226
('assistance',) : 226
('training',) : 226
('determined',) : 226
('personnel',) : 226
('asian',) : 225
('characteristics',) : 225
('120',) : 225
('docking',) : 225
('powerpoint',) : 225
('course',) : 224
('amtrak',) : 224
('facility',) : 224
('democratic',) : 224
('rights',) : 224
('tropics',) : 223
('1970s',) : 223
('washed',) : 223
('institute',) : 223
('offices',) : 223
('alabama',) : 223
('committee',) : 223
('powers',) : 222
('changed',) : 222
('strike',) : 222
('serve',) : 222
('theory',) : 222
('internal',) : 221
('jtwc',) : 221
('palm',) : 221
('failed',) : 221
('bank',) : 221
('capacity',) : 220
('operates',) : 220
('republican',) : 220
('cooling',) : 219
('affect',) : 219
('favorable',) : 219
('disturbance',) : 219
('atlantis',) : 219
('length',) : 219
('seasonal',) : 218
('decades',) : 218
('allowing',) : 218
('aftermath',) : 218
('landing',) : 218
('you',) : 218
('train',) : 218
('release',) : 217
('periods',) : 217
('businesses',) : 217
('planned',) : 217
('removed',) : 217
('morning',) : 217
('forest',) : 217
('governments',) : 217
('survey',) : 216
('acid',) : 216
('germany',) : 216
('whether',) : 215
('minimal',) : 215
('fields',) : 215
('collection',) : 215
('yucatán',) : 215
('previously',) : 214
('conference',) : 214
('thought',) : 213
('metro',) : 213
('might',) : 213
('latin',) : 213
('rare',) : 212
('proposed',) : 212
('problems',) : 212
('budget',) : 212
('protection',) : 212
('korean',) : 211
('boats',) : 211
('security',) : 211
('producing',) : 210
('rising',) : 210
('positive',) : 210
('oceanic',) : 210
('highly',) : 210
('workers',) : 210
('communications',) : 210
('covered',) : 210
('religious',) : 210
('memorial',) : 210
('revolution',) : 210
('railroad',) : 210
('diameter',) : 209
('degrees',) : 209
('approach',) : 209
('gust',) : 209
('man',) : 209
('crossing',) : 209
('ancient',) : 209
('160',) : 208
('weapons',) : 208
('predicted',) : 208
('crossed',) : 208
('totaled',) : 208
('growing',) : 208
('warmer',) : 207
('quality',) : 207
('expansion',) : 207
('130',) : 207
("n't",) : 207
('quebec',) : 207
('determine',) : 206
('95',) : 206
('real',) : 206
('spread',) : 206
('defense',) : 206
('belize',) : 206
('contrast',) : 205
('test',) : 205
('tracked',) : 205
('housing',) : 205
('basis',) : 205
('tides',) : 205
('measure',) : 204
('duration',) : 204
('run',) : 204
('measurements',) : 204
('impacts',) : 204
('successful',) : 204
('constructed',) : 204
('legislature',) : 204
('cooler',) : 203
('tend',) : 203
('good',) : 203
('done',) : 203
('race',) : 203
('themselves',) : 203
('sector',) : 203
('low-pressure',) : 202
('animals',) : 202
('rural',) : 202
('arrival',) : 202
('moon',) : 202
('video',) : 202
('dates',) : 202
('elections',) : 202
('finally',) : 201
